timestamps,TP9,AF7,AF8,TP10,Right AUX
1731796503.437,-1000.000,-574.219,458.984,-999.023,0.000
1731796503.441,386.230,996.582,397.461,91.309,0.000
1731796503.445,-770.996,773.438,445.801,-803.711,0.000
1731796503.449,657.715,-869.629,485.352,818.359,0.000
1731796503.453,-861.328,-986.816,405.273,-751.465,0.000
1731796503.457,-202.148,727.539,418.945,-674.316,0.000
1731796503.460,-843.750,952.148,501.953,-996.582,0.000
1731796503.464,883.789,-781.738,434.570,944.336,0.000
1731796503.468,-699.707,-1000.000,328.613,-699.707,0.000
1731796503.472,-877.930,636.230,364.258,-1000.000,0.000
1731796503.476,825.195,-895.996,420.410,639.160,0.000
1731796503.480,-891.113,-446.289,414.062,-817.383,0.000
1731796503.484,-491.211,-1000.000,350.586,-341.797,0.000
1731796503.488,-1000.000,204.102,270.508,-1000.000,0.000
1731796503.492,562.012,-816.406,316.406,482.422,0.000
1731796503.496,-746.582,198.730,363.281,-762.207,0.000
1731796503.500,191.895,-1000.000,324.707,336.426,0.000
1731796503.503,-908.203,-515.625,279.297,-1000.000,0.000
1731796503.507,409.668,-976.562,318.359,-1.953,0.000
1731796503.511,-777.344,419.434,337.891,-825.684,0.000
1731796503.515,760.254,-1000.000,270.020,831.055,0.000
1731796503.519,-716.797,-942.383,221.680,-738.770,0.000
1731796503.523,-109.863,667.480,243.164,-839.355,0.000
1731796503.527,-806.641,-989.746,280.762,896.484,0.000
1731796503.531,871.094,-704.102,254.883,981.934,0.000
1731796503.535,-711.914,-1000.000,185.059,-696.289,0.000
1731796503.539,-771.973,543.945,148.926,-1000.000,0.000
1731796503.542,869.629,-877.930,188.477,624.023,0.000
1731796503.546,-845.215,-358.887,213.379,-836.914,0.000
1731796503.550,-292.480,-1000.000,151.367,-338.867,0.000
1731796503.554,-962.891,-24.414,104.004,-1000.000,0.000
1731796503.558,565.430,-889.160,153.809,337.402,0.000
1731796503.562,-743.652,28.320,184.082,-785.156,0.000
1731796503.566,489.258,-1000.000,114.258,368.164,0.000
1731796503.570,-709.961,-719.238,57.129,-1000.000,0.000
